collection_slug,backlog_bucket,top_repository_name,top_provider,repo_host,repo_url_hint,platform_hint,priority_kind,suggested_wave,direct_repo_hint_available,content_priority,extraction_ease,language_priority,pdf_hit_rate,raw_target_rows,tapped_target_rows,untapped_target_rows,known_overlap_source,dominant_target_types_summary,has_text,has_image,has_sound,has_video,estimated_text_items,estimated_image_items,estimated_sound_items,estimated_video_items,latest_run_id,latest_run_state,best_completed_run_id,notes,manual_priority,manual_repo_status,manual_notes
uth_rep,wave1_active,Ιδρυματικό Αποθετήριο Πανεπιστημίου Θεσσαλίας,Πανεπιστήμιο Θεσσαλίας,ir.lib.uth.gr,https://ir.lib.uth.gr/,dspace_xmlui,whole_collection,wave1_high_quality_easy,yes,high,easy,strict_ELL_NONE,0.564023118631949,50349,0,50349,,thesis:23646; article:19556; συνέδριο/αναφορά:2363; image:2230; other:1782,yes,yes,no,no,47347,2230,0,0,,,,strict-language untapped rows=50349; content_priority=high; extraction_ease=easy,,,
phdtheses,known_host_backlog,Εθνικό Αρχείο Διδακτορικών Διατριβών,Εθνικό Κέντρο Τεκμηρίωσης και Ηλεκτρονικού Περιεχομένου (ΕΚΤ),hdl.handle.net,http://hdl.handle.net/,custom_or_unknown,row_filtered,overlap_defer,yes,high,hard,strict_ELL_NONE,0.0,46302,0,46302,covered_by_standalone_greek_phd,thesis:46302,yes,no,no,no,46302,0,0,0,,,,strict-language untapped rows=46302; content_priority=high; extraction_ease=hard; overlap=covered_by_standalone_greek_phd,,,
pergamos,known_host_backlog,Πέργαμος,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,pergamos.lib.uoa.gr,https://pergamos.lib.uoa.gr/,custom_object_repository,row_filtered,wave2_medium,yes,high,medium,strict_ELL_NONE,0.5122972517687828,41554,0,41554,,thesis:39862; article:751; επιστημονική δημοσίευση:344; access:328; archive:129,yes,no,no,no,41414,0,0,0,,,,strict-language untapped rows=41554; content_priority=high; extraction_ease=medium,,,
uoi,known_host_backlog,Ιδρυματικό Αποθετήριο Ολυμπιάς,Πανεπιστήμιο Ιωαννίνων,olympias.lib.uoi.gr,https://olympias.lib.uoi.gr/,dspace_jspui,row_filtered,wave2_medium,yes,medium,easy,strict_ELL_NONE,0.5606383626728392,32834,0,32834,,thesis:18242; NA:10587; book:1582; article:1390; other:411,yes,no,no,no,32212,0,0,0,,,,strict-language untapped rows=32834; content_priority=medium; extraction_ease=easy,,,
nemertes,known_host_backlog,Νημερτής,Πανεπιστήμιο Πατρών,nemertes.library.upatras.gr,https://nemertes.library.upatras.gr/,dspace_handle_repository,whole_collection,wave2_medium,yes,medium,medium,strict_ELL_NONE,0.0,26933,1913,25020,,thesis:11375; NA:8290; εργασία:6848; journal:123; Report:117,yes,no,no,no,26753,0,0,0,,,,strict-language untapped rows=25020; content_priority=medium; extraction_ease=medium,,,
psepheda,wave1_active,Ψηφίδα - Ψηφιακή Βιβλιοθήκη και Ιδρυματικό Καταθετήριο του Πανεπιστημίου Μακεδονίας,Πανεπιστήμιο Μακεδονίας,dspace.lib.uom.gr,https://dspace.lib.uom.gr/,dspace_handle_repository,whole_collection,wave1_high_quality_easy,yes,high,easy,strict_ELL_NONE,0.9416908235517749,21043,0,21043,,thesis:13568; book:3377; NA:2147; text:908; paper:714,yes,no,no,no,20714,0,0,0,,,,strict-language untapped rows=21043; content_priority=high; extraction_ease=easy,,,
rep_ihu,known_host_backlog,Ιδρυματικό Αποθετήριο Διεθνούς Πανεπιστημίου Ελλάδος (ΔΙΠΑΕ),Διεθνές Πανεπιστήμιο της Ελλάδος,repository.ihu.gr,https://repository.ihu.gr/,dspace7,row_filtered,wave2_medium,yes,medium,easy,strict_ELL_NONE,0.6058611273649308,20508,0,20508,,άλλο:8676; thesis:5762; εργασία:3499; paper:1196; περιοδικό:584,yes,no,no,no,19717,0,0,0,,,,strict-language untapped rows=20508; content_priority=medium; extraction_ease=easy,,,
repo_duth,known_host_backlog,Αποθετήριο Δημοκρίτειου Πανεπιστημίου,Δημοκρίτειο Πανεπιστήμιο Θράκης,repo.lib.duth.gr,http://repo.lib.duth.gr/,dspace_jspui,row_filtered,wave2_medium,yes,high,medium,strict_ELL_NONE,0.0,19454,0,19454,,thesis:18830; book:421; learning:159; other:36; NA:4,yes,no,no,no,19450,0,0,0,,,,strict-language untapped rows=19454; content_priority=high; extraction_ease=medium,,,
IKEE_AUT,known_host_backlog,Ιδρυματικό Καταθετήριο Επιστημονικών Εργασιών ΑΠΘ,Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,ikee.lib.auth.gr,http://ikee.lib.auth.gr/,custom_ekt_repository,row_filtered,wave2_medium,yes,high,medium,strict_ELL_NONE,0.5984782352247258,84770,68013,16757,,thesis:48187; συνέδριο:14135; άρθρο:10361; book:9516; NA:2348,yes,no,no,no,84547,0,0,0,,,,strict-language untapped rows=16757; content_priority=high; extraction_ease=medium,,,
ntua,wave1_active,Ψηφιακό Αποθετήριο της Κεντρικής Βιβλιοθήκης του ΕΜΠ | Dspace@NTUA,Εθνικό Μετσόβιο Πολυτεχνείο,dspace.lib.ntua.gr,https://dspace.lib.ntua.gr/,dspace_xmlui,row_filtered,wave1_high_quality_easy,yes,high,easy,strict_ELL_NONE,0.9950493898895991,43025,26673,16352,,thesis:24435; article:9811; συνέδριο/αναφορά:6028; διάλεξη:1288; other:443,yes,no,no,no,42005,0,0,0,,,,strict-language untapped rows=16352; content_priority=high; extraction_ease=easy,,,
